站点,lon,lat,所属线路,所属区划
浦东大道,121.51502205840627,31.242033182367038,4号线,浦东新区
浦电路,121.52776069712401,31.22438818821216,4号线,浦东新区
蓝村路,121.52329423618126,31.213767983331827,4号线,浦东新区
塘桥,121.51432719911308,31.21183326613952,4号线,浦东新区
东方体育中心,121.47580957006537,31.15535214456991,6号线,浦东新区
灵岩南路,121.49085372602215,31.150697017174405,6号线,浦东新区
上南路,121.5017488651964,31.1510944858594,6号线,浦东新区
华夏西路,121.5101667260586,31.151967211512307,6号线,浦东新区
高青路,121.51141827130932,31.16199467096905,6号线,浦东新区
东明路,121.50648078440192,31.174712432125357,6号线,浦东新区
高科西路,121.50545302268972,31.18781773154805,6号线,浦东新区
临沂新村,121.51232664814695,31.19527546765369,6号线,浦东新区
上海儿童医学中心,121.51913614328043,31.205365300920768,6号线,浦东新区
浦电路(6号线),121.52479340483214,31.222200129820212,6号线,浦东新区
源深体育中心,121.53032980656296,31.235109049779677,6号线,浦东新区
民生路,121.53924071490843,31.23797717518929,6号线,浦东新区
北洋泾路,121.54805044620993,31.241289518613954,6号线,浦东新区
德平路,121.55999887544186,31.247564212390703,6号线,浦东新区
云山路,121.5685509243186,31.25258759881975,6号线,浦东新区
金桥路,121.57760370723192,31.259265595138448,6号线,浦东新区
博兴路,121.58247954440752,31.265702642660607,6号线,浦东新区
五莲路,121.58365671248472,31.274204781989642,6号线,浦东新区
巨峰路,121.58415534360049,31.282860469923676,6号线,浦东新区
东靖路,121.58452576574403,31.29285660782505,6号线,浦东新区
五洲大道,121.58500109195472,31.30473716642981,6号线,浦东新区
洲海路,121.58518440820042,31.31439354886664,6号线,浦东新区
外高桥保税区南,121.59775456461071,31.323742485093327,6号线,浦东新区
航津路,121.58976284671556,31.337529127461192,6号线,浦东新区
外高桥保税区北,121.58270973648744,31.34995222835566,6号线,浦东新区
港城路,121.57052223852327,31.355142017552968,6号线,浦东新区
花木路,121.55851584102638,31.21338958074959,7号线,浦东新区
芳华路,121.54584981242722,31.195271654525325,7号线,浦东新区
锦绣路,121.5357488069474,31.189732734169073,7号线,浦东新区
杨高南路,121.52074785128514,31.189666618454318,7号线,浦东新区
云台路,121.49601343690365,31.184242152593626,7号线,浦东新区
耀华路,121.4901657347358,31.180527553908487,7号线,浦东新区
