地铁线,区,点编号,地铁点,纬度,经度,边的起点编号,边的终点编号,起点纬度,起点经度,终点纬度,终点经度,,,,
3,静安区,13,上海站,31.24966297,121.4556254,71,71,31.24966297,121.4556254,31.25148975,121.4763984,31.25057636,121.4660119,0.00091339,0.0103865
3,静安区,14,宝山路,31.25148975,121.4763984,72,72,31.25148975,121.4763984,31.26000905,121.4800885,31.2557494,121.4782435,0.00425965,0.00184505
3,虹口区,15,东宝兴路,31.26000905,121.4800885,73,73,31.26000905,121.4800885,31.27138451,121.4791715,31.26569678,121.47963,0.00568773,-0.0004585
3,虹口区,16,虹口足球场,31.27138451,121.4791715,74,74,31.27138451,121.4791715,31.28123616,121.4824562,31.27631034,121.4808139,0.004925825,0.00164235
3,虹口区,17,赤峰路,31.28123616,121.4824562,75,75,31.28123616,121.4824562,31.28946917,121.4832117,31.28535267,121.482834,0.004116505,0.00037775
3,虹口区,18,大柏树,31.28946917,121.4832117,76,76,31.28946917,121.4832117,31.30557526,121.4851899,31.29752222,121.4842008,0.008053045,0.0009891
3,虹口区,19,江湾镇,31.30557526,121.4851899,77,77,31.30557526,121.4851899,31.31981456,121.4849137,31.31269491,121.4850518,0.00711965,-0.0001381
3,宝山区,20,殷高西路,31.31981456,121.4849137,78,78,31.31981456,121.4849137,31.33220206,121.4915826,31.32600831,121.4882482,0.00619375,0.00333445
3,宝山区,21,长江南路,31.33220206,121.4915826,79,79,31.33220206,121.4915826,31.34520075,121.5004834,31.33870141,121.496033,0.006499345,0.0044504
3,宝山区,22,淞发路,31.34520075,121.5004834,80,80,31.34520075,121.5004834,31.35784668,121.4987858,31.35152372,121.4996346,0.006322965,-0.0008488
3,宝山区,23,张华浜,31.35784668,121.4987858,81,81,31.35784668,121.4987858,31.37126917,121.4927407,31.36455793,121.4957633,0.006711245,-0.00302255
3,宝山区,24,淞滨路,31.37126917,121.4927407,82,82,31.37126917,121.4927407,31.38135575,121.4881517,31.37631246,121.4904462,0.00504329,-0.0022945
3,宝山区,25,水产路,31.38135575,121.4881517,83,83,31.38135575,121.4881517,31.39542525,121.4796546,31.3883905,121.4839032,0.00703475,-0.00424855
3,宝山区,26,宝杨路,31.39542525,121.4796546,84,84,31.39542525,121.4796546,31.40413997,121.4758861,31.39978261,121.4777704,0.00435736,-0.00188425
3,宝山区,27,友谊路,31.40413997,121.4758861,85,85,31.40413997,121.4758861,31.40819388,121.4612294,31.40616693,121.4685578,0.002026955,-0.00732835
3,宝山区,28,铁力路,31.40819388,121.4612294,86,86,31.40819388,121.4612294,31.40788808,121.4398463,31.40804098,121.4505379,-0.0001529,-0.01069155
3,宝山区,29,江杨北路,31.40788808,121.4398463,87,87,31.40788808,121.4398463,31.40788808,121.4398463,31.40788808,121.4398463,0,0
4,徐汇区,1,宜山路,31.1863361,121.4272028,88,88,31.1863361,121.4272028,31.18246769,121.4369962,31.1844019,121.4320995,-0.001934205,0.0048967
4,徐汇区,2,上海体育馆,31.18246769,121.4369962,89,89,31.18246769,121.4369962,31.18550184,121.4434065,31.18398477,121.4402014,0.001517075,0.00320515
4,徐汇区,3,上海体育场,31.18550184,121.4434065,90,90,31.18550184,121.4434065,31.1910467,121.4547199,31.18827427,121.4490632,0.00277243,0.0056567
4,徐汇区,4,东安路,31.1910467,121.4547199,91,91,31.1910467,121.4547199,31.19388454,121.4637821,31.19246562,121.459251,0.00141892,0.0045311
4,徐汇区,5,大木桥路,31.19388454,121.4637821,92,92,31.19388454,121.4637821,31.19911724,121.4748004,31.19650089,121.4692913,0.00261635,0.00550915
4,黄浦区,6,鲁班路,31.19911724,121.4748004,93,93,31.19911724,121.4748004,31.20203815,121.4894752,31.2005777,121.4821378,0.001460455,0.0073374
